moneyness,tau,r,vol,option price
0.0,0.3,0.03,0.2,0.3034857910760693
0.0,0.3,0.03,0.30000000000000004,0.4351594722667002
0.0,0.3,0.03,0.4000000000000001,0.58170578631362
0.0,0.3,0.03,0.5000000000000001,0.7386058515923877
0.0,0.3,0.03,0.6000000000000001,0.8507022929386657
0.0,0.3,0.03,0.7000000000000002,1.025773322263797
0.0,0.3,0.03,0.8000000000000003,1.1039871478211742
0.0,0.3,0.03,0.9000000000000001,1.2002986757524599
0.0,0.3,0.04,0.2,0.30995558909935145
0.0,0.3,0.04,0.30000000000000004,0.46775967220950676
0.0,0.3,0.04,0.4000000000000001,0.5942753669360367
0.0,0.3,0.04,0.5000000000000001,0.732067040333453
0.0,0.3,0.04,0.6000000000000001,0.8873979166291027
0.0,0.3,0.04,0.7000000000000002,1.002144591770643
0.0,0.3,0.04,0.8000000000000003,1.1568252120391656
0.0,0.3,0.04,0.9000000000000001,1.3171287739930346
0.0,0.3,0.05,0.2,0.32785813045387285
0.0,0.3,0.05,0.30000000000000004,0.44924960420613846
0.0,0.3,0.05,0.4000000000000001,0.588783640571679
0.0,0.3,0.05,0.5000000000000001,0.7312114229983918
0.0,0.3,0.05,0.6000000000000001,0.8410321977522265
0.0,0.3,0.05,0.7000000000000002,1.0019647444924955
0.0,0.3,0.05,0.8000000000000003,1.2131209839280326
0.0,0.3,0.05,0.9000000000000001,1.3260170620732432
0.0,0.3,0.060000000000000005,0.2,0.32039419642104433
0.0,0.3,0.060000000000000005,0.30000000000000004,0.45990001384437706
0.0,0.3,0.060000000000000005,0.4000000000000001,0.5889551088017143
0.0,0.3,0.060000000000000005,0.5000000000000001,0.7387417466290824
0.0,0.3,0.060000000000000005,0.6000000000000001,0.8828834789751678
0.0,0.3,0.060000000000000005,0.7000000000000002,1.0003574226269534
0.0,0.3,0.060000000000000005,0.8000000000000003,1.1662665335111746
0.0,0.3,0.060000000000000005,0.9000000000000001,1.324337103598573
0.0,0.3,0.07,0.2,0.33475536526311545
0.0,0.3,0.07,0.30000000000000004,0.45576774210414184
0.0,0.3,0.07,0.4000000000000001,0.5953970362100293
0.0,0.3,0.07,0.5000000000000001,0.7601686469561645
0.0,0.3,0.07,0.6000000000000001,0.8788695246633297
0.0,0.3,0.07,0.7000000000000002,1.0393408684094607
